mlc_pair_index,width,center_offset
0,5,-197.5
1,5,-192.5
2,5,-187.5
3,5,-182.5
4,5,-177.5
5,5,-172.5
6,5,-167.5
7,5,-162.5
8,5,-157.5
9,5,-152.5
10,5,-147.5
11,5,-142.5
12,5,-137.5
13,5,-132.5
14,5,-127.5
15,5,-122.5
16,5,-117.5
17,5,-112.5
18,5,-107.5
19,5,-102.5
20,5,-97.5
21,5,-92.5
22,5,-87.5
23,5,-82.5
24,5,-77.5
25,5,-72.5
26,5,-67.5
27,5,-62.5
28,5,-57.5
29,5,-52.5
30,5,-47.5
31,5,-42.5
32,5,-37.5
33,5,-32.5
34,5,-27.5
35,5,-22.5
36,5,-17.5
37,5,-12.5
38,5,-7.5
39,5,-2.5
40,5,2.5
41,5,7.5
42,5,12.5
43,5,17.5
44,5,22.5
45,5,27.5
46,5,32.5
47,5,37.5
48,5,42.5
49,5,47.5
50,5,52.5
51,5,57.5
52,5,62.5
53,5,67.5
54,5,72.5
55,5,77.5
56,5,82.5
57,5,87.5
58,5,92.5
59,5,97.5
60,5,102.5
61,5,107.5
62,5,112.5
63,5,117.5
64,5,122.5
65,5,127.5
66,5,132.5
67,5,137.5
68,5,142.5
69,5,147.5
70,5,152.5
71,5,157.5
72,5,162.5
73,5,167.5
74,5,172.5
75,5,177.5
76,5,182.5
77,5,187.5
78,5,192.5
79,5,197.5
