index,energy_label,sigma,dcm_directory
0,70.2,0.606,<directory-containing-dicoms>\70.2
1,71.1,0.599,<directory-containing-dicoms>\71.1
2,72.1,0.592,<directory-containing-dicoms>\72.1
3,73,0.585,<directory-containing-dicoms>\73.0
4,73.9,0.578,<directory-containing-dicoms>\73.9
5,74.8,0.573,<directory-containing-dicoms>\74.8
6,75.7,0.567,<directory-containing-dicoms>\75.7
7,76.6,0.562,<directory-containing-dicoms>\76.6
8,77.5,0.557,<directory-containing-dicoms>\77.5
9,78.4,0.552,<directory-containing-dicoms>\78.4
10,79.2,0.547,<directory-containing-dicoms>\79.2
11,80.1,0.542,<directory-containing-dicoms>\80.1
12,81,0.537,<directory-containing-dicoms>\81.0
13,81.8,0.531,<directory-containing-dicoms>\81.8
14,82.7,0.527,<directory-containing-dicoms>\82.7
15,83.5,0.523,<directory-containing-dicoms>\83.5
16,84.3,0.518,<directory-containing-dicoms>\84.3
17,85.2,0.513,<directory-containing-dicoms>\85.2
18,86,0.51,<directory-containing-dicoms>\86.0
19,86.8,0.506,<directory-containing-dicoms>\86.8
20,87.6,0.5,<directory-containing-dicoms>\87.6
21,88.4,0.496,<directory-containing-dicoms>\88.4
22,89.2,0.493,<directory-containing-dicoms>\89.2
23,90,0.488,<directory-containing-dicoms>\90.0
24,90.8,0.485,<directory-containing-dicoms>\90.8
25,91.6,0.481,<directory-containing-dicoms>\91.6
26,92.3,0.479,<directory-containing-dicoms>\92.3
27,93.1,0.475,<directory-containing-dicoms>\93.1
28,93.9,0.471,<directory-containing-dicoms>\93.9
29,94.6,0.468,<directory-containing-dicoms>\94.6
30,95.8,0.464,<directory-containing-dicoms>\95.8
31,96.9,0.459,<directory-containing-dicoms>\96.9
32,98.4,0.454,<directory-containing-dicoms>\98.4
33,99.8,0.446,<directory-containing-dicoms>\99.8
34,101.3,0.442,<directory-containing-dicoms>\101.3
35,102.7,0.436,<directory-containing-dicoms>\102.7
36,104.2,0.431,<directory-containing-dicoms>\104.2
37,105.6,0.427,<directory-containing-dicoms>\105.6
38,107,0.422,<directory-containing-dicoms>\107.0
39,108.3,0.419,<directory-containing-dicoms>\108.3
40,109.7,0.415,<directory-containing-dicoms>\109.7
41,111.1,0.409,<directory-containing-dicoms>\111.1
42,112.4,0.408,<directory-containing-dicoms>\112.4
43,113.7,0.402,<directory-containing-dicoms>\113.7
44,115.1,0.4,<directory-containing-dicoms>\115.1
45,116.4,0.394,<directory-containing-dicoms>\116.4
46,117.7,0.392,<directory-containing-dicoms>\117.7
47,119,0.387,<directory-containing-dicoms>\119.0
48,120.2,0.385,<directory-containing-dicoms>\120.2
49,121.5,0.382,<directory-containing-dicoms>\121.5
50,123.1,0.378,<directory-containing-dicoms>\123.1
51,124.7,0.374,<directory-containing-dicoms>\124.7
52,126.5,0.371,<directory-containing-dicoms>\126.5
53,128.3,0.367,<directory-containing-dicoms>\128.3
54,130.2,0.362,<directory-containing-dicoms>\130.2
55,132,0.362,<directory-containing-dicoms>\132.0
56,133.7,0.357,<directory-containing-dicoms>\133.7
57,135.5,0.356,<directory-containing-dicoms>\135.5
58,137.3,0.35,<directory-containing-dicoms>\137.3
59,139,0.348,<directory-containing-dicoms>\139.0
60,140.7,0.346,<directory-containing-dicoms>\140.7
61,142.4,0.344,<directory-containing-dicoms>\142.4
62,144.1,0.342,<directory-containing-dicoms>\144.1
63,146.1,0.341,<directory-containing-dicoms>\146.1
64,148,0.333,<directory-containing-dicoms>\148.0
65,150.2,0.335,<directory-containing-dicoms>\150.2
66,152.4,0.329,<directory-containing-dicoms>\152.4
67,154.5,0.327,<directory-containing-dicoms>\154.5
68,156.6,0.327,<directory-containing-dicoms>\156.6
69,158.7,0.327,<directory-containing-dicoms>\158.7
70,160.8,0.321,<directory-containing-dicoms>\160.8
71,163.2,0.316,<directory-containing-dicoms>\163.2
72,165.5,0.316,<directory-containing-dicoms>\165.5
73,168,0.312,<directory-containing-dicoms>\168.0
74,170.5,0.311,<directory-containing-dicoms>\170.5
75,173,0.31,<directory-containing-dicoms>\173.0
76,175.5,0.308,<directory-containing-dicoms>\175.5
77,177.9,0.304,<directory-containing-dicoms>\177.9
78,180.3,0.302,<directory-containing-dicoms>\180.3
79,182.7,0.304,<directory-containing-dicoms>\182.7
80,185.1,0.304,<directory-containing-dicoms>\185.1
81,187.5,0.303,<directory-containing-dicoms>\187.5
82,189.8,0.301,<directory-containing-dicoms>\189.8
83,192.4,0.301,<directory-containing-dicoms>\192.4
84,194.9,0.299,<directory-containing-dicoms>\194.9
85,197.6,0.297,<directory-containing-dicoms>\197.6
86,200.3,0.297,<directory-containing-dicoms>\200.3
87,203,0.293,<directory-containing-dicoms>\203.0
88,205.7,0.293,<directory-containing-dicoms>\205.7
89,208.3,0.291,<directory-containing-dicoms>\208.3
90,210.9,0.294,<directory-containing-dicoms>\210.9
91,213.5,0.293,<directory-containing-dicoms>\213.5
92,216.1,0.297,<directory-containing-dicoms>\216.1
93,218.7,0.291,<directory-containing-dicoms>\218.7
94,221.2,0.296,<directory-containing-dicoms>\221.2
95,223.7,0.288,<directory-containing-dicoms>\223.7
96,226.2,0.285,<directory-containing-dicoms>\226.2
97,228.7,0.275,<directory-containing-dicoms>\228.7

