index,energy_label,dcm_directory
0,70.2,<directory-containing-dicoms>\70.2
1,71.1,<directory-containing-dicoms>\71.1
2,72.1,<directory-containing-dicoms>\72.1
3,73,<directory-containing-dicoms>\73.0
4,73.9,<directory-containing-dicoms>\73.9
5,74.8,<directory-containing-dicoms>\74.8
6,75.7,<directory-containing-dicoms>\75.7
7,76.6,<directory-containing-dicoms>\76.6
8,77.5,<directory-containing-dicoms>\77.5
9,78.4,<directory-containing-dicoms>\78.4
10,79.2,<directory-containing-dicoms>\79.2
11,80.1,<directory-containing-dicoms>\80.1
12,81,<directory-containing-dicoms>\81.0
13,81.8,<directory-containing-dicoms>\81.8
14,82.7,<directory-containing-dicoms>\82.7
15,83.5,<directory-containing-dicoms>\83.5
16,84.3,<directory-containing-dicoms>\84.3
17,85.2,<directory-containing-dicoms>\85.2
18,86,<directory-containing-dicoms>\86.0
19,86.8,<directory-containing-dicoms>\86.8
20,87.6,<directory-containing-dicoms>\87.6
21,88.4,<directory-containing-dicoms>\88.4
22,89.2,<directory-containing-dicoms>\89.2
23,90,<directory-containing-dicoms>\90.0
24,90.8,<directory-containing-dicoms>\90.8
25,91.6,<directory-containing-dicoms>\91.6
26,92.3,<directory-containing-dicoms>\92.3
27,93.1,<directory-containing-dicoms>\93.1
28,93.9,<directory-containing-dicoms>\93.9
29,94.6,<directory-containing-dicoms>\94.6
30,95.8,<directory-containing-dicoms>\95.8
31,96.9,<directory-containing-dicoms>\96.9
32,98.4,<directory-containing-dicoms>\98.4
33,99.8,<directory-containing-dicoms>\99.8
34,101.3,<directory-containing-dicoms>\101.3
35,102.7,<directory-containing-dicoms>\102.7
36,104.2,<directory-containing-dicoms>\104.2
37,105.6,<directory-containing-dicoms>\105.6
38,107,<directory-containing-dicoms>\107.0
39,108.3,<directory-containing-dicoms>\108.3
40,109.7,<directory-containing-dicoms>\109.7
41,111.1,<directory-containing-dicoms>\111.1
42,112.4,<directory-containing-dicoms>\112.4
43,113.7,<directory-containing-dicoms>\113.7
44,115.1,<directory-containing-dicoms>\115.1
45,116.4,<directory-containing-dicoms>\116.4
46,117.7,<directory-containing-dicoms>\117.7
47,119,<directory-containing-dicoms>\119.0
48,120.2,<directory-containing-dicoms>\120.2
49,121.5,<directory-containing-dicoms>\121.5
50,123.1,<directory-containing-dicoms>\123.1
51,124.7,<directory-containing-dicoms>\124.7
52,126.5,<directory-containing-dicoms>\126.5
53,128.3,<directory-containing-dicoms>\128.3
54,130.2,<directory-containing-dicoms>\130.2
55,132,<directory-containing-dicoms>\132.0
56,133.7,<directory-containing-dicoms>\133.7
57,135.5,<directory-containing-dicoms>\135.5
58,137.3,<directory-containing-dicoms>\137.3
59,139,<directory-containing-dicoms>\139.0
60,140.7,<directory-containing-dicoms>\140.7
61,142.4,<directory-containing-dicoms>\142.4
62,144.1,<directory-containing-dicoms>\144.1
63,146.1,<directory-containing-dicoms>\146.1
64,148,<directory-containing-dicoms>\148.0
65,150.2,<directory-containing-dicoms>\150.2
66,152.4,<directory-containing-dicoms>\152.4
67,154.5,<directory-containing-dicoms>\154.5
68,156.6,<directory-containing-dicoms>\156.6
69,158.7,<directory-containing-dicoms>\158.7
70,160.8,<directory-containing-dicoms>\160.8
71,163.2,<directory-containing-dicoms>\163.2
72,165.5,<directory-containing-dicoms>\165.5
73,168,<directory-containing-dicoms>\168.0
74,170.5,<directory-containing-dicoms>\170.5
75,173,<directory-containing-dicoms>\173.0
76,175.5,<directory-containing-dicoms>\175.5
77,177.9,<directory-containing-dicoms>\177.9
78,180.3,<directory-containing-dicoms>\180.3
79,182.7,<directory-containing-dicoms>\182.7
80,185.1,<directory-containing-dicoms>\185.1
81,187.5,<directory-containing-dicoms>\187.5
82,189.8,<directory-containing-dicoms>\189.8
83,192.4,<directory-containing-dicoms>\192.4
84,194.9,<directory-containing-dicoms>\194.9
85,197.6,<directory-containing-dicoms>\197.6
86,200.3,<directory-containing-dicoms>\200.3
87,203,<directory-containing-dicoms>\203.0
88,205.7,<directory-containing-dicoms>\205.7
89,208.3,<directory-containing-dicoms>\208.3
90,210.9,<directory-containing-dicoms>\210.9
91,213.5,<directory-containing-dicoms>\213.5
92,216.1,<directory-containing-dicoms>\216.1
93,218.7,<directory-containing-dicoms>\218.7
94,221.2,<directory-containing-dicoms>\221.2
95,223.7,<directory-containing-dicoms>\223.7
96,226.2,<directory-containing-dicoms>\226.2
97,228.7,<directory-containing-dicoms>\228.7
